usageDate,transactionDate,usageCategory,reasonType,productName,reasonComment,chargedItemID,tokensConsumed,quantity
9/30/2024 0:00,9/30/2024 21:05,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1727730336321,500,500
9/30/2024 0:00,9/30/2024 21:05,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1727730317032,1000,1000
2/28/2025 0:00,3/3/2025 15:47,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1741016828539,500,500
2/28/2025 0:00,3/3/2025 15:46,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1741016797833,1000,1000
2/28/2025 0:00,3/4/2025 20:35,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Account Based - 2,435 Tokens per month",110004354574-1741120513334,2435,1
3/31/2025 0:00,3/31/2025 19:33,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Account Based - 2,435 Tokens per month",110004354574-1743449594556,2435,1
3/31/2025 0:00,3/31/2025 19:33,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1743449616712,1000,1000
3/31/2025 0:00,3/31/2025 19:34,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1743449639415,500,500
11/30/2024 0:00,12/2/2024 16:22,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1733156553620,2435,1
11/30/2024 0:00,12/2/2024 16:22,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1733156510330,500,500
11/30/2024 0:00,12/2/2024 16:21,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1733156475704,1000,1000
4/30/2025 0:00,4/30/2025 15:34,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1746027287775,1000,1000
4/30/2025 0:00,4/30/2025 15:35,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1746027309642,500,500
4/30/2025 0:00,4/30/2025 13:23,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1746019385713,2435,1
12/27/2024 0:00,12/27/2024 15:55,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1735314925618,1000,1000
12/27/2024 0:00,12/27/2024 15:55,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1735314945498,500,500
12/27/2024 0:00,12/27/2024 14:16,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Account Based - 2,435 Tokens per month",110004354574-1735308977600,2435,1
5/30/2025 0:00,5/30/2025 15:13,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1748618017598,2435,1
5/30/2025 0:00,5/30/2025 18:03,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1748628174120,500,500
5/30/2025 0:00,5/30/2025 18:02,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1748628134848,1000,1000
6/27/2025 0:00,6/27/2025 13:25,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1751030711808,2435,1
6/27/2025 0:00,6/27/2025 15:54,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1751039628325,1000,1000
6/27/2025 0:00,6/27/2025 15:54,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1751039655646,500,500
7/28/2025 0:00,7/28/2025 16:43,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1753721006066,2435,1
7/28/2025 0:00,7/28/2025 21:13,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1753737167714,1000,1000
7/28/2025 0:00,7/28/2025 21:13,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1753737189198,500,500
9/25/2025 0:00,9/25/2025 18:29,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1758824987226,2435,1
9/26/2025 0:00,9/26/2025 14:57,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1758898607685,500,500
9/26/2025 0:00,9/26/2025 14:56,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1758898584984,1000,1000
10/27/2025 0:00,10/27/2025 15:33,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1761579174136,2435,1
10/27/2025 0:00,10/27/2025 18:51,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1761591067044,500,500
10/27/2025 0:00,10/27/2025 18:50,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1761591040243,1000,1000
11/24/2025 0:00,11/25/2025 13:16,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1764076584311,2435,1
11/24/2025 0:00,11/26/2025 5:10,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1764133843308,1000,1000
11/24/2025 0:00,11/26/2025 5:11,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1764133863349,500,500
12/26/2025 0:00,12/26/2025 17:43,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1766770999022,2435,1
12/29/2025 0:00,12/29/2025 15:55,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1767023732940,1000,1000
12/29/2025 0:00,12/29/2025 15:56,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1767023750845,500,500
8/25/2025 0:00,8/25/2025 20:16,MANUAL_ADJUSTMENT,Monthly Adjustment,BIM 360 Docs Enterprise Unlimited,"BIM Docs Value Based - 2,435 Tokens per month",110004354574-1756152997243,2435,1
8/25/2025 0:00,8/26/2025 13:48,MANUAL_CONSUMPTION,Monthly Adjustment,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1756216082289,1000,1000
8/25/2025 0:00,8/26/2025 13:48,MANUAL_CONSUMPTION,Monthly Adjustment,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1756216106249,500,500
